Datetime,XGBModel_4 Hours Ahead (kW),XGBModel_8 Hours Ahead (kW),NBEATSModel_4 Hours Ahead (kW),NBEATSModel_8 Hours Ahead (kW),Actual load (kW)
2019-08-02 01:00:00,1.7133281230926514,1.7133281230926514,1.6449367191741044,1.6449367191741044,1.5115569416050354
2019-08-02 02:00:00,0.9172679781913757,0.9172679781913757,0.9819886691040273,0.9819886691040273,0.8943455295778916
2019-08-02 03:00:00,0.3604448735713959,0.3604448735713959,0.47566686263254854,0.47566686263254854,0.3697999722061154
2019-08-02 04:00:00,0.19670884311199188,0.19670884311199188,0.1667061920394199,0.1667061920394199,9.99999999999901e-07
2019-08-02 05:00:00,0.20685961842536926,0.09644339233636856,0.04048232763351856,0.04849784829227489,0.1704524458783476
2019-08-02 06:00:00,0.22004282474517822,0.07300561666488647,0.10012005801459796,0.09224401455485522,0.1932655826043012
2019-08-02 07:00:00,0.515843391418457,0.28446856141090393,0.5329917195714192,0.33212854201782877,1.0157062214219832
2019-08-02 08:00:00,1.2706700563430786,1.0308676958084106,1.6071269808386965,0.9241864863143321,1.6919914187541525
2019-08-02 09:00:00,2.0164029598236084,2.0164029598236084,1.5192771812040538,1.5192771812040538,0.9587465003229793
2019-08-02 10:00:00,2.045186758041382,2.045186758041382,2.7289056361119264,2.7289056361119264,0.9487504740189421
2019-08-02 11:00:00,2.687053680419922,2.687053680419922,3.141315149870381,3.141315149870381,2.6849812456665076
2019-08-02 12:00:00,3.0661377906799316,3.0661377906799316,3.2831880558285653,3.2831880558285653,3.7718729976234457
2019-08-02 13:00:00,3.384012460708618,3.016535520553589,2.9722219997911274,3.160317110244235,5.467408077081467
2019-08-02 14:00:00,3.1160058975219727,2.966010332107544,3.4817229965376644,3.8117029344121716,3.728294226593866
2019-08-02 15:00:00,3.404008150100708,3.3651368618011475,3.255171653439479,3.617297040679658,3.247659804334009
2019-08-02 16:00:00,3.2677791118621826,3.380403995513916,3.0613173294640097,3.4046387404347893,2.8479211681052283
2019-08-02 17:00:00,3.1887781620025635,3.1887781620025635,2.427396559594344,2.427396559594344,2.944406662846036
2019-08-02 18:00:00,3.4864661693573,3.4864661693573,3.1989416914230406,3.1989416914230406,3.9386277486593477
2019-08-02 19:00:00,4.171066761016846,4.171066761016846,3.988872320795402,3.988872320795402,6.986812612873072
2019-08-02 20:00:00,4.491464614868164,4.491464614868164,4.284315225593024,4.284315225593024,5.175406614134474
2019-08-02 21:00:00,4.471745014190674,4.424354076385498,4.413571670049891,4.094459556812542,4.88107119410875
2019-08-02 22:00:00,3.9948980808258057,3.72698974609375,4.33587260670381,4.05866001658132,3.423343051084304
2019-08-02 23:00:00,2.9640188217163086,2.9314630031585693,3.303487901909527,3.1552316541011622,4.744971831163199
2019-08-03 00:00:00,2.5484535694122314,2.6168949604034424,2.3499839495544492,2.5097215646362945,3.181914222908443
2019-08-03 01:00:00,2.2598118782043457,2.2598118782043457,1.7395359394942975,1.7395359394942975,2.59623383232795
2019-08-03 02:00:00,1.1600896120071411,1.1600896120071411,1.1475373848729067,1.1475373848729067,2.248704001522488
2019-08-03 03:00:00,0.3799041211605072,0.3799041211605072,0.4582953262746899,0.4582953262746899,1.5132560260035195
2019-08-03 04:00:00,0.06668881326913834,0.06668881326913834,0.10399234276200674,0.10399234276200674,0.3343113601688804
2019-08-03 05:00:00,0.06835690885782242,0.09340518712997437,0.024298516236871393,0.03871165933659708,0.6438325266206526
2019-08-03 06:00:00,0.07048094272613525,0.12395577132701874,0.05641807969450448,0.14383169469761115,0.036111084705351675
2019-08-03 07:00:00,0.31915363669395447,0.4144189953804016,0.28359793639458825,0.578705593458238,0.1527468590740632
2019-08-03 08:00:00,0.9540020823478699,1.4599692821502686,0.620798339378149,1.2784509580576633,9.99999999999901e-07
2019-08-03 09:00:00,0.47990885376930237,0.47990885376930237,0.5035134385473625,0.5035134385473625,0.738873973804472
2019-08-03 10:00:00,1.4850304126739502,1.4850304126739502,1.8113060026049574,1.8113060026049574,4.026451666461514
2019-08-03 11:00:00,2.380929708480835,2.380929708480835,2.9923914444172985,2.9923914444172985,8.321207523897398
2019-08-03 12:00:00,3.3730673789978027,3.3730673789978027,4.181291636053797,4.181291636053797,3.321662520165339
2019-08-03 13:00:00,4.1179680824279785,3.6369307041168213,4.717584418179472,4.029777629756657,5.325140158113271
2019-08-03 14:00:00,4.2571916580200195,3.7995810508728027,4.981022197615062,4.784760267021456,4.944853026454075
2019-08-03 15:00:00,3.8509445190429688,3.6350996494293213,4.206315406194572,4.270414532716267,6.957122728157466
2019-08-03 16:00:00,3.6817784309387207,3.315079689025879,4.007101635440794,3.80780099583994,10.916002776718562
2019-08-03 17:00:00,6.068181037902832,6.068181037902832,6.418158063253438,6.418158063253438,6.73170669885254
2019-08-03 18:00:00,5.137261390686035,5.137261390686035,5.941783766181761,5.941783766181761,1.9102505555051166
2019-08-03 19:00:00,4.589944839477539,4.589944839477539,7.1416293381131695,7.1416293381131695,5.044613345008847
2019-08-03 20:00:00,4.997568130493164,4.997568130493164,6.9105332239534185,6.9105332239534185,2.861473754183876
2019-08-03 21:00:00,4.63932466506958,4.774731636047363,3.982737128309025,6.207396968987308,5.463700909265299
2019-08-03 22:00:00,4.0322160720825195,4.000124931335449,4.601793336107657,6.161669134447594,4.373421748617384
2019-08-03 23:00:00,4.202934741973877,4.310940265655518,4.061510065354028,4.678387484529098,2.7813859738036264
2019-08-04 00:00:00,2.969851016998291,3.0199928283691406,3.5387010878405722,3.1304933717266628,2.7776976943444134
